intent,count,percentage,anonymised_example,commercial_opportunity
generic/unclear,86,81.1,How do i get the pictures,"Useful brand warmth, but convert with clearer next steps."
generic praise,8,7.5,you look and sound amazing ❤️,"Useful brand warmth, but convert with clearer next steps."
positive ambience praise,5,4.7,Beautiful,Use ambience comments as proof for venue positioning.
location/access question,5,4.7,Location?,"Pin address, parking, map, and arrival guidance in captions and highlights."
event interest,3,2.8,@enid_blekk on guitar 🎸 @niiamateycongas_ on percussion @musical_jerry_ on saxophone🎷 ✨✨✨✨✨✨✨,"Create event posts with dates, times, line-up, and reservation CTA."
date-night/romantic ambience,3,2.8,Love this! 🔥❤️,Package ambience-led content around date-night reservations.
menu/food curiosity,2,1.9,You are phenomenal too. Your shots are great,Use captions and carousel slides to answer menu questions before users ask.
service issue/complaint,1,0.9,Not long now! Can’t wait!! 🙌,Track and resolve operational issues privately; avoid letting concerns sit unanswered.
price/value concern,1,0.9,PROPERTY FOR SALE Property Highlights • Spacious living & dining area • 4 en-suite bedrooms with fitted cabinets • Fully,"Add menu ranges, bundles, or occasion packages where commercially appropriate."
booking/reservation intent,1,0.9,"@followers 2025 DETTY DECEMBER IN GHANA _Afrofure🇬🇭🇬🇭🇬🇭27TH DECE,2025-3TH JAN,2026. We can tailor your itinerary t",Reply quickly with booking link or WhatsApp prompt and save FAQs to highlights.
